student_id,parent_id
1,1
1,2
2,3
3,4
3,5
4,6
5,7
5,8
6,9
6,10
7,11
8,12
8,13
9,14
9,15
10,16
10,17
11,18
11,19
12,20
12,21
13,22
13,23
14,24
14,25
15,26
15,27
16,28
17,29
17,30
18,31
18,32
19,33
19,34
20,35
20,36
21,37
21,38
22,39
23,40
23,41
24,42
24,43
25,44
25,45
26,46
26,47
27,48
27,49
28,50
28,51
29,52
29,53
30,54
30,55
31,56
31,57
32,58
32,59
33,60
33,61
34,62
34,63
35,64
35,65
36,66
36,67
37,68
37,69
38,70
38,71
39,72
39,73
40,74
40,75
41,76
42,77
42,78
43,79
43,80
44,81
45,82
45,83
46,84
46,85
47,86
48,87
49,88
50,89
51,90
51,91
52,92
52,93
53,94
53,95
54,96
54,97
55,98
55,99
56,100
56,101
57,102
57,103
58,104
58,105
59,106
60,107
60,108
61,109
61,110
62,111
62,112
63,113
63,114
64,115
64,116
65,117
65,118
66,119
67,120
67,121
68,122
68,123
69,124
69,125
70,126
71,127
71,128
72,129
72,130
73,131
73,132
74,133
75,134
75,135
76,136
76,137
77,138
78,139
78,140
79,141
79,142
80,143
80,144
81,145
81,146
82,147
83,148
83,149
84,150
84,151
85,152
86,153
86,154
87,155
87,156
88,157
88,158
89,159
90,160
90,161
91,162
92,163
92,164
93,165
93,166
94,167
94,168
95,169
95,170
96,171
96,172
97,173
97,174
98,175
99,176
99,177
100,178
100,179
101,180
101,181
102,182
102,183
103,184
103,185
104,186
104,187
105,188
105,189
106,190
106,191
107,192
107,193
108,194
108,195
109,196
110,197
110,198
111,199
111,200
112,201
112,202
113,203
113,204
114,205
115,206
116,207
116,208
117,209
117,210
118,211
118,212
119,213
119,214
120,215
120,216
121,217
122,218
123,219
123,220
124,221
125,222
125,223
126,224
126,225
127,226
127,227
128,228
128,229
129,230
129,231
130,232
131,233
132,234
132,235
133,236
133,237
134,238
134,239
135,240
135,241
136,242
136,243
137,244
137,245
138,246
138,247
139,248
139,249
140,250
140,251
141,252
141,253
142,254
142,255
143,256
144,257
144,258
145,259
145,260
146,261
146,262
147,263
147,264
148,265
148,266
149,267
149,268
150,269
150,270
151,271
151,272
152,273
152,274
153,275
153,276
154,277
154,278
155,279
155,280
156,281
156,282
157,283
157,284
158,285
158,286
159,287
159,288
160,289
161,290
161,291
162,292
162,293
163,294
164,295
164,296
165,297
166,298
166,299
167,300
168,301
168,302
169,303
169,304
170,305
170,306
171,307
171,308
172,309
172,310
173,311
173,312
174,313
174,314
175,315
175,316
176,317
176,318
177,319
177,320
178,321
178,322
179,323
180,324
180,325
181,326
181,327
182,328
182,329
183,330
183,331
184,332
185,333
185,334
186,335
186,336
187,337
187,338
188,339
188,340
189,341
189,342
190,343
190,344
191,345
191,346
192,347
192,348
193,349
193,350
194,351
194,352
195,353
195,354
196,355
196,356
197,357
197,358
198,359
198,360
199,361
199,362
200,363
200,364
201,365
201,366
202,367
202,368
203,369
203,370
204,371
204,372
205,373
205,374
206,375
206,376
207,377
207,378
208,379
208,380
209,381
209,382
210,383
210,384
211,385
211,386
212,387
212,388
213,389
213,390
214,391
214,392
215,393
215,394
216,395
216,396
217,397
217,398
218,399
218,400
219,401
220,402
220,403
221,404
221,405
222,406
222,407
223,408
223,409
224,410
224,411
225,412
225,413
226,414
226,415
227,416
227,417
228,418
228,419
229,420
229,421
230,422
231,423
232,424
232,425
233,426
233,427
234,428
234,429
235,430
235,431
236,432
236,433
237,434
237,435
238,436
238,437
239,438
239,439
240,440
240,441
241,442
242,443
243,444
243,445
244,446
244,447
245,448
246,449
246,450
247,451
247,452
248,453
248,454
249,455
249,456
250,457
250,458
251,459
252,460
252,461
253,462
253,463
254,464
254,465
255,466
255,467
256,468
256,469
257,470
257,471
258,472
258,473
259,474
260,475
260,476
261,477
261,478
262,479
263,480
264,481
264,482
265,483
265,484
266,485
266,486
267,487
267,488
268,489
268,490
269,491
269,492
270,493
270,494
271,495
271,496
272,497
272,498
273,499
273,500
274,501
274,502
275,503
275,504
276,505
276,506
277,507
277,508
278,509
278,510
279,511
279,512
280,513
280,514
281,515
282,516
282,517
283,518
283,519
284,520
284,521
285,522
285,523
286,524
286,525
287,526
287,527
288,528
288,529
289,530
289,531
290,532
290,533
291,534
291,535
292,536
293,537
293,538
294,539
294,540
295,541
295,542
296,543
296,544
297,545
297,546
298,547
298,548
299,549
299,550
300,551
300,552
301,553
301,554
302,555
303,556
303,557
304,558
304,559
305,560
305,561
306,562
306,563
307,564
307,565
308,566
308,567
309,568
309,569
310,570
310,571
311,572
311,573
312,574
312,575
313,576
313,577
314,578
314,579
315,580
315,581
316,582
317,583
317,584
318,585
318,586
319,587
319,588
320,589
320,590
321,591
321,592
322,593
323,594
323,595
324,596
324,597
325,598
325,599
326,600
326,601
327,602
327,603
328,604
329,605
329,606
330,607
330,608
331,609
331,610
332,611
332,612
333,613
333,614
334,615
334,616
335,617
335,618
336,619
336,620
337,621
338,622
338,623
339,624
339,625
340,626
340,627
341,628
341,629
342,630
343,631
343,632
344,633
344,634
345,635
345,636
346,637
347,638
347,639
348,640
348,641
349,642
349,643
350,644
350,645
351,646
351,647
352,648
352,649
353,650
353,651
354,652
354,653
355,654
355,655
356,656
356,657
357,658
357,659
358,660
358,661
359,662
360,663
360,664
361,665
361,666
362,667
362,668
363,669
363,670
364,671
364,672
365,673
366,674
366,675
367,676
367,677
368,678
368,679
369,680
369,681
370,682
371,683
371,684
372,685
372,686
373,687
373,688
374,689
374,690
375,691
376,692
376,693
377,694
377,695
378,696
378,697
379,698
379,699
380,700
380,701
381,702
381,703
382,704
382,705
383,706
383,707
384,708
384,709
385,710
386,711
386,712
387,713
387,714
388,715
388,716
389,717
389,718
390,719
391,720
391,721
392,722
392,723
393,724
393,725
394,726
395,727
395,728
396,729
396,730
397,731
397,732
398,733
398,734
399,735
399,736
400,737
400,738
401,739
401,740
402,741
402,742
403,743
403,744
404,745
404,746
405,747
405,748
406,749
406,750
407,751
407,752
408,753
409,754
409,755
410,756
410,757
411,758
411,759
412,760
412,761
413,762
414,763
414,764
415,765
415,766
416,767
417,768
417,769
418,770
418,771
419,772
419,773
420,774
421,775
421,776
422,777
423,778
423,779
424,780
424,781
425,782
425,783
426,784
426,785
427,786
427,787
428,788
428,789
429,790
429,791
430,792
430,793
431,794
431,795
432,796
432,797
433,798
433,799
434,800
434,801
435,802
435,803
436,804
436,805
437,806
437,807
438,808
438,809
439,810
439,811
440,812
440,813
441,814
441,815
442,816
443,817
443,818
444,819
444,820
445,821
446,822
447,823
447,824
448,825
448,826
449,827
449,828
450,829
450,830
451,831
451,832
452,833
452,834
453,835
453,836
454,837
455,838
455,839
456,840
457,841
457,842
458,843
458,844
459,845
459,846
460,847
460,848
461,849
461,850
462,851
462,852
463,853
463,854
464,855
464,856
465,857
465,858
466,859
466,860
467,861
467,862
468,863
468,864
469,865
470,866
470,867
471,868
471,869
472,870
472,871
473,872
473,873
474,874
474,875
475,876
475,877
476,878
476,879
477,880
477,881
478,882
478,883
479,884
480,885
480,886
481,887
481,888
482,889
482,890
483,891
483,892
484,893
484,894
485,895
486,896
486,897
487,898
487,899
488,900
488,901
489,902
489,903
490,904
490,905
491,906
491,907
492,908
492,909
493,910
493,911
494,912
494,913
495,914
495,915
496,916
496,917
497,918
498,919
498,920
499,921
499,922
500,923
500,924
501,925
501,926
502,927
502,928
503,929
503,930
504,931
504,932
505,933
505,934
506,935
507,936
508,937
508,938
509,939
509,940
510,941
510,942
511,943
511,944
512,945
512,946
513,947
514,948
514,949
515,950
516,951
516,952
517,953
517,954
518,955
518,956
519,957
519,958
520,959
521,960
521,961
522,962
522,963
523,964
523,965
524,966
524,967
525,968
525,969
526,970
527,971
527,972
528,973
528,974
529,975
529,976
530,977
531,978
531,979
532,980
532,981
533,982
533,983
534,984
534,985
535,986
535,987
536,988
537,989
537,990
538,991
538,992
539,993
539,994
540,995
540,996
541,997
541,998
542,999
542,1000
543,1001
544,1002
544,1003
545,1004
545,1005
546,1006
546,1007
547,1008
547,1009
548,1010
548,1011
549,1012
549,1013
550,1014
550,1015
551,1016
551,1017
552,1018
552,1019
553,1020
554,1021
554,1022
555,1023
556,1024
556,1025
557,1026
557,1027
558,1028
558,1029
559,1030
559,1031
560,1032
560,1033
561,1034
561,1035
562,1036
562,1037
563,1038
563,1039
564,1040
564,1041
565,1042
565,1043
566,1044
